Date_start,Date_end,SPT_start,SPT_end
2020-06-05 14:41:50,2020-06-06 14:54:12,2020-06-06 10:00:05,2020-06-06 10:53:37
2020-06-06 15:05:40,2020-06-07 14:32:33,2020-06-06 21:44:49,2020-06-06 22:25:02
2020-06-07 14:37:32,2020-06-08 14:32:33,0,0
2020-06-08 14:49:25,2020-06-09 14:26:37,2020-06-09 08:35:11,2020-06-09 09:21:08
2020-06-09 14:37:14,2020-06-10 13:54:46,0,0
2020-06-10 15:03:07,2020-06-11 14:46:08,2020-06-11 08:17:44,2020-06-11 09:26:17
2020-06-11 15:05:47,2020-06-12 14:32:47,2020-06-11 15:10:55,2020-06-11 23:00:14
2020-06-12 15:20:27,2020-06-13 14:38:08,2020-06-12 20:26:56,2020-06-13 02:23:00
2020-06-13 15:22:34,2020-06-14 14:58:27,2020-06-14 05:58:40,2020-06-14 12:32:58
2020-06-14 15:26:32,2020-06-15 14:53:50,2020-06-15 09:02:20,2020-06-15 14:50:23
2020-06-15 15:20:08,2020-06-16 09:05:28,2020-06-15 17:21:59,2020-06-15 20:32:35
